SubjectID,ImageNumber,BlockNumber,GridNumber,TrialNumberEnc1,TrialNumberEncRec1,TrialNumberEnc2,TrialNumberEncRec2,TrialNumberEnc3,TrialNumberEncRec3,TrialNumberEnc4,TrialNumberEncRec4,RespTimeBlank1,RespTimeImg1,RespTimeBlank2,RespTimeImg2,RespTimeBlank3,RespTimeImg3,RespTimeBlank4,RespTimeImg4
100,27,2,16,1,5,4,11,31,28,16,3,3.58163156823412,1.69272090508912,2.52178924289728,1.30747137317758,2.636696594147,1.33660475578836,2.03926323879205,0.832663098537523
100,31,2,2,2,16,13,3,17,19,10,4,4.99283306567668,8.55608719613156,2.32739879451037,1.37351278101596,2.78605124454771,2.53800166221663,2.23580875630432,0.634980727809307
100,13,2,12,3,15,8,5,22,17,15,10,21.1667532383926,3.46606840292316,9.61669321806949,2.18972987305642,4.83165010539597,1.31990604037674,4.7089577593224,0.96549850343672
100,52,2,15,4,4,16,6,25,20,12,14,9.82592932332318,2.8487278347593,14.4643724516527,2.94991469266461,2.59176757091973,1.95162676934797,10.9997136209386,0.797831790078817
100,25,2,6,5,2,14,13,24,21,13,13,14.8350362370275,4.25882414289845,3.97518329290506,1.94268681234098,3.77325379332069,1.73892627343139,2.22939559882252,0.866575238662335
100,36,2,7,6,11,5,2,29,32,9,11,6.55898330576474,3.83213654246993,4.83124020768173,0.982480629169004,2.37635028510249,1.43917254068583,2.70526284753123,0.657401822066277
100,50,2,8,7,13,1,8,30,27,5,1,11.6512922242782,2.73527521573396,26.1886918331074,1.45703353830504,4.83808851441518,1.38407594418459,5.54344177269468,0.8450248727504
100,28,2,4,8,7,3,16,23,23,2,16,21.0843060064935,3.34108368641046,4.0534781875549,1.08556115360625,4.97366683422661,1.85835964401031,3.15993070636068,0.969756246083307
100,26,2,10,9,3,11,14,19,30,1,15,16.0100291753643,2.8604549975089,4.44024525635086,1.18667858744539,4.30890097216616,0.934774979815302,4.0234229001835,0.472825038959854
100,15,2,14,10,8,10,1,20,18,14,2,21.5119019544372,2.32083363651327,5.03412336466772,2.1871058889119,6.53835126198919,1.085082386865,2.95247977550753,0.766432077910395
100,42,2,3,11,12,12,4,26,24,4,8,25.0316666898279,2.42912299742784,11.7262746400511,1.77049382036876,3.43716977012991,2.13460504509021,4.12029040728794,1.21866308823974
100,22,2,11,12,1,9,10,21,22,11,12,19.5419653216022,1.82158361780148,3.02352830557902,1.8598018380435,3.76939729087735,1.07205529028215,4.10509133142023,0.68226623864939
