SubjectID,ImageNumber,TrialNumberR1,TrialNumberR2,TrialNumberR3,RatingR1,RatingR2,RatingR3,AvgRatingR1R2,AvgRatingR1R2R3,RespTimeR1,RespTimeR2,RespTimeR3
100,18,1,36,34,822.388059701492,822.388059701492,621.79104477612,822.388059701492,755.522388059701,4.47430909893546,1.79807756774426,1.74477105655933
100,13,2,4,38,184.776119402985,77.3134328358206,55.8208955223878,131.044776119403,105.970149253731,3.89025946880065,1.78311904217753,1.83639512901391
100,58,3,21,19,951.343283582088,886.86567164179,1000,919.104477611939,946.069651741293,2.2163457574211,2.23361225797362,2.14353453848344
100,4,4,58,35,664.776119402985,865.373134328358,600.298507462687,765.074626865671,710.149253731343,3.06364632506256,1.71248796185228,1.69410863583471
100,54,5,14,56,1000,1000,1000,1000,1000,2.98414278739392,2.0581089139605,1.97799857993596
100,40,6,10,20,743.582089552239,707.761194029851,636.119402985075,725.671641791045,695.820895522388,1.91440364031132,1.68693932918495,1.38265165668599
100,27,7,18,58,535.820895522388,435.522388059701,320.89552238806,485.671641791045,430.746268656716,1.97865060204686,1.4114751490597,1.46933470073782
100,7,8,30,7,650.44776119403,585.970149253731,664.776119402985,618.208955223881,633.731343283582,4.57952201602393,1.84426832791451,1.75886092835935
100,55,9,34,39,77.3134328358206,0,48.6567164179102,38.6567164179103,41.9900497512436,2.73433998573501,1.88830325919025,1.98642326340814
100,14,10,35,47,535.820895522388,249.253731343283,213.432835820895,392.537313432836,332.835820895522,5.10449923196393,1.78326310847751,1.3062110101946
100,1,11,42,11,650.44776119403,743.582089552239,671.940298507463,697.014925373134,688.656716417911,2.20706066363709,1.48412571686549,1.294799770174
100,2,12,52,31,500,815.223880597015,671.940298507463,657.611940298508,662.388059701493,1.99705987460266,1.41169333902508,1.55280760955065
100,30,13,1,6,500,500,414.029850746269,500,471.343283582089,1.96914282802481,2.63486176486276,1.43779861528128
100,26,14,24,43,700.597014925373,614.626865671642,679.10447761194,657.611940298508,664.776119402985,1.70766473145659,1.30826399496618,1.52330083601737
100,29,15,46,36,378.20895522388,371.044776119403,356.716417910448,374.626865671642,368.65671641791,1.75979332860788,1.22986993444192,2.33670048461681
100,8,16,8,26,693.432835820896,722.089552238806,650.44776119403,707.761194029851,688.656716417911,4.81421650946231,2.55967950270315,3.08164907779974
100,16,17,59,23,808.059701492537,894.029850746268,765.074626865672,851.044776119403,822.388059701492,5.33418105047667,1.65714098370881,1.28923378649415
100,19,18,2,44,901.194029850745,636.119402985075,743.582089552239,768.65671641791,760.298507462686,2.21922178143041,1.22875617405407,1.23407895513628
100,35,19,51,41,614.626865671642,643.283582089552,306.567164179104,628.955223880597,521.492537313433,2.7084913283411,2.02140761641294,1.20131346769449
100,17,20,15,30,177.611940298507,406.865671641791,134.626865671641,292.238805970149,239.701492537313,3.21205052310097,4.01922779393863,1.74438134469165
100,52,21,6,48,320.89552238806,277.910447761194,199.10447761194,299.402985074627,265.970149253731,1.66848247433154,1.40527810926278,2.58689507502459
100,12,22,27,45,399.701492537313,392.537313432836,256.417910447761,396.119402985075,349.55223880597,4.14325546826012,1.91834484603714,1.55277638237385
100,33,23,25,27,428.358208955224,464.179104477612,500,446.268656716418,464.179104477612,1.81126882084754,1.29888431430572,0.846414850931978
100,53,24,20,46,406.865671641791,578.805970149254,242.089552238806,492.835820895522,409.253731343284,1.76682498133459,1.46474100658997,1.2858872506913
100,57,25,48,49,600.298507462687,664.776119402985,793.731343283582,632.537313432836,686.268656716418,1.78749542443165,1.1945280839218,1.58610469837186
100,50,26,29,54,500,349.55223880597,693.432835820896,424.776119402985,514.328358208955,1.93143579820799,1.29861212736705,1.17284362633109
100,25,27,45,16,600.298507462687,607.462686567164,335.223880597015,603.880597014925,514.328358208955,1.70914352560612,1.12055067252368,1.86396455707472
